dataset,ir,n3,svm_gmean,svm_f1,svm_rec,knn_gmean,knn_f1,knn_rec,rf_gmean,rf_f1,rf_rec,mlp_gmean,mlp_f1,mlp_rec,mean_gmean,mean_f1,mean_rec,n_3_imb,n_1_imb
appendicitis,1,0.2857142857142857,0.8005989017443433,0.7857142857142858,0.72,0.7970242782466538,0.7972222222222222,0.76,0.7604065228796749,0.7972222222222222,0.755,0.7909364116307198,0.799126984126984,0.7849999999999999,0.7872415286253479,0.7858225108225109,0.7549999999999999,0.2857142857142857,0.4523809523809524
appendicitis,3,0.2142857142857143,0.7777507272290718,0.7333333333333333,0.6300000000000001,0.8094930464608188,0.7576190476190475,0.695,0.7806930344125946,0.7576190476190475,0.665,0.7814137570311486,0.7146320346320347,0.6649999999999999,0.7873376412834086,0.7298683261183261,0.6637500000000001,0.2698412698412698,0.3492063492063492
appendicitis,5,0.17647058823529416,0.72651544925265,0.6361904761904762,0.5666666666666667,0.7707416042783988,0.6761904761904762,0.6416666666666667,0.8031146263849175,0.6761904761904762,0.6916666666666667,0.8182018600354732,0.7130952380952381,0.7416666666666667,0.7796433849878599,0.6816666666666666,0.6604166666666667,0.29411764705882354,0.34705882352941175
appendicitis,7,0.15463917525773196,0.3469676206514095,0.29999999999999993,0.25,0.5331689238027172,0.44000000000000006,0.3833333333333333,0.6332969944986335,0.44000000000000006,0.4833333333333333,0.44825581906406053,0.3733333333333333,0.3,0.49042233950420516,0.41,0.35416666666666663,0.33872549019607845,0.49901960784313726
appendicitis,9,0.12765957446808507,0.282842712474619,0.26666666666666666,0.2,0.661594422860316,0.531904761904762,0.6,0.6692336686010509,0.531904761904762,0.6,0.7323051009789708,0.611904761904762,0.65,0.5864939762287391,0.4917857142857144,0.5125000000000001,0.3189542483660131,0.3980392156862745
appendicitis,11,0.09677419354838712,0.5079095462326618,0.4666666666666666,0.45,0.6241916495157362,0.4966666666666667,0.6,0.6412481584373865,0.4966666666666667,0.55,0.5412481584373865,0.43,0.45,0.5786493781557928,0.47750000000000004,0.5125,0.27941176470588236,0.42205882352941176
appendicitis,13,0.08695652173913049,0.36464432178142714,0.31666666666666665,0.35,0.7140656648892237,0.5066666666666666,0.7,0.5647391781477211,0.5066666666666666,0.55,0.6233171435919207,0.4666666666666666,0.6,0.5666915771025731,0.44749999999999995,0.55,0.24369747899159663,0.4042016806722689
australian,1,0.3925081433224755,0.4440976794446494,0.4917466173372085,0.5159703860391327,0.6577700023057612,0.6383534678794842,0.597567424643046,0.8813789220896207,0.6383534678794842,0.8728186144896879,0.5033625375608184,0.45401067957692787,0.3892384981491274,0.6216522853502124,0.6161748475916543,0.5938987308302486,0.3925081433224756,0.5732899022801303
australian,3,0.2954990215264188,0.4989768353346564,0.40997752699429013,0.6175384615384616,0.6183396960445429,0.48863989015501463,0.43430769230769234,0.8506660353414164,0.48863989015501463,0.7667692307692306,0.22201841921488097,0.1415636421420626,0.086,0.5475002464838742,0.4586555696550224,0.47615384615384615,0.39738699412532635,0.5446821964751958
australian,5,0.24782608695652175,0.49920656136210817,0.29350344369212295,0.67375,0.4830419354783124,0.27775172765030776,0.27791666666666665,0.8324214513705694,0.27775172765030776,0.7275,0.2951856615691688,0.1792076919954158,0.12375,0.5274639024450397,0.37528293506313803,0.4507291666666667,0.4549184496965176,0.55650876538605
australian,7,0.18721461187214616,0.5220796006912519,0.2407485872400857,0.5363636363636363,0.4908675904062607,0.2920227604838589,0.2727272727272727,0.7811997702557674,0.2920227604838589,0.6363636363636365,0.20966287538845862,0.12819219995690584,0.16363636363636364,0.5009524591854346,0.33569030300867836,0.4022727272727273,0.4340375029670069,0.5056491811061001
australian,9,0.17840375586854462,0.5002531891273452,0.2407752016211922,0.5583333333333333,0.2555821297327079,0.10945255295100498,0.10555555555555556,0.7641708593474636,0.10945255295100498,0.6097222222222223,0.1369151636159367,0.0804040404040404,0.04722222222222222,0.41423033545586335,0.27117636251982613,0.3302083333333333,0.51211366810371,0.5602950998846318
australian,11,0.13397129186602874,0.5093062048363766,0.21120546476772142,0.48571428571428565,0.4080954039279323,0.22744418979713096,0.24285714285714283,0.6736793473182334,0.22744418979713096,0.4857142857142859,0.1284460854590117,0.08722222222222223,0.05714285714285714,0.4298817603853885,0.2711467626255621,0.31785714285714284,0.44953375606117124,0.47564341663558374
australian,13,0.10194174757281549,0.4670881443726941,0.15008174087121454,0.5233333333333333,0.4471759728646024,0.2644871794871795,0.24333333333333332,0.6186092203896401,0.2644871794871795,0.4166666666666667,0.12583558124955818,0.08333333333333334,0.05333333333333333,0.4146772297191237,0.24896690541427385,0.30916666666666665,0.40542000540199874,0.46731790762582154
bands,1,0.3481481481481481,0.6642670448819433,0.6917004791716674,0.7296296296296296,0.6419698812811605,0.6288639562029381,0.6074074074074074,0.7110734709485221,0.6288639562029381,0.7222222222222221,0.18765900065975805,0.481892563565932,0.6481481481481481,0.551242349442846,0.6292357043633681,0.6768518518518518,0.34814814814814815,0.5555555555555556
bands,3,0.20846905537459282,0.5669636787690683,0.41898219459281005,0.5583333333333333,0.5876469489811852,0.45441575748027363,0.39666666666666667,0.5485820289334707,0.45441575748027363,0.31833333333333336,0.12722659589516783,0.08605529168189015,0.06,0.457604813144723,0.3502740462751081,0.33333333333333337,0.35079051383399207,0.5330886504799548
bands,5,0.1811594202898551,0.5303021343492486,0.2869591117846238,0.5777777777777777,0.43249578205778383,0.30246008893067716,0.2311111111111111,0.4570357440486241,0.30246008893067716,0.2166666666666667,0.062457414900768726,0.05043988269794721,0.11111111111111112,0.37057276883910634,0.24117980581834703,0.2841666666666667,0.4043478260869565,0.5347826086956522
bands,7,0.16349809885931554,0.5279128686881517,0.2690311356884842,0.5476190476190476,0.2653556576672418,0.14184704184704183,0.10714285714285714,0.29191816458569764,0.14184704184704183,0.12619047619047621,0.0,0.0,0.0,0.2712966727352728,0.15331478247911962,0.1952380952380952,0.5087615283267457,0.5739789196310936
bands,9,0.125,0.5748595417678267,0.24036333432901516,0.59,0.3907484577176389,0.23820346320346317,0.21000000000000002,0.04472135954999579,0.23820346320346317,0.02,0.03362193900727162,0.007692307692307693,0.02,0.26098782451068325,0.12989810963952983,0.21000000000000002,0.4277591973244147,0.5568561872909699
bands,11,0.09561752988047811,0.5762167507267519,0.1933866801002351,0.67,0.4802993866022751,0.3137179487179487,0.27999999999999997,0.3840506162907269,0.3137179487179487,0.22000000000000003,0.09835450019686665,0.05193798449612402,0.125,0.38473031345415515,0.2149987485666722,0.32375,0.3767080745341615,0.46128364389233956
bands,13,0.09677419354838712,0.5461855119982324,0.16823300257508203,0.5416666666666666,0.25962122612692196,0.1554761904761905,0.14166666666666666,0.0,0.1554761904761905,0.0,0.03900947488027473,0.013333333333333332,0.1,0.21120405325135727,0.08426063159615146,0.19583333333333333,0.4618357487922705,0.558695652173913
bupa,1,0.4137931034482759,0.6416140365640808,0.6192057488536771,0.5655172413793104,0.659901937635657,0.6461876979580568,0.6241379310344828,0.7147573298087605,0.6461876979580568,0.703448275862069,0.13580115851715524,0.46274509803921565,0.6137931034482758,0.5380186156314134,0.6103397465045763,0.6267241379310344,0.4137931034482759,0.6241379310344828
bupa,3,0.2808988764044944,0.5087144446273929,0.3712015037345212,0.5895604395604396,0.6107016669762008,0.4971996856436216,0.41098901098901097,0.6192960254361234,0.4971996856436216,0.4181318681318681,0.03585685828003182,0.02,0.014285714285714285,0.4436422488299372,0.35068424009895904,0.3582417582417582,0.3885074626865671,0.540634328358209
bupa,5,0.22916666666666663,0.5380833402244087,0.3021573787409701,0.4625,0.4810149550605495,0.28344537815126053,0.275,0.4442450515582692,0.28344537815126053,0.2125,0.08535533905932735,0.06222222222222222,0.0375,0.3871746714756387,0.2371466099689784,0.246875,0.4275,0.5725
bupa,7,0.17903930131004364,0.5170727412355822,0.23881368304897715,0.45,0.5193781455853029,0.3321056721056721,0.3066666666666667,0.4253510591935913,0.3321056721056721,0.24666666666666665,0.05700877125495685,0.04444444444444444,0.03333333333333333,0.37970267931735835,0.2339004737092972,0.25916666666666666,0.42431034482758617,0.5062931034482758
bupa,9,0.13963963963963966,0.4214257505915041,0.18697343846085263,0.37,0.4225923999914586,0.25492063492063494,0.24500000000000002,0.40670958596040674,0.25492063492063494,0.22000000000000003,0.0,0.0,0.0,0.31268193413584233,0.18386637548822904,0.20875,0.4011363636363636,0.4715909090909091
bupa,11,0.11926605504587151,0.47143849558805206,0.1993406593406593,0.41666666666666663,0.21818072961725832,0.13523809523809524,0.12499999999999997,0.10773502691896253,0.13523809523809524,0.05833333333333333,0.0,0.0,0.0,0.19933856303106823,0.10614468864468862,0.15,0.46944444444444444,0.5044444444444445
bupa,13,0.10697674418604652,0.5339064377537224,0.3123492063492063,0.4333333333333333,0.2835632283352607,0.19,0.16666666666666666,0.3449576501857641,0.19,0.19999999999999998,0.05700877125495685,0.04,0.03333333333333333,0.304859021882426,0.2055873015873016,0.20833333333333331,0.45833333333333337,0.5241666666666667
haberman,1,0.38888888888888884,0.6281233398114566,0.6568925507123435,0.7025735294117647,0.6583340767871636,0.6370714086617868,0.5919117647058825,0.661352189353551,0.6370714086617868,0.6676470588235295,0.3592831499870883,0.47232422969187676,0.5147058823529411,0.5767731889848149,0.607650017433063,0.6192095588235293,0.38271604938271603,0.5740740740740741
haberman,3,0.29333333333333333,0.54866807420888,0.4089907841481525,0.62,0.5473060264465308,0.3844673666052976,0.38,0.5044319233568394,0.3844673666052976,0.3066666666666667,0.2517492095523778,0.16745013156777863,0.12666666666666668,0.46303880839115696,0.32611278843566527,0.35833333333333334,0.39555555555555555,0.5666666666666667
haberman,5,0.20740740740740737,0.5488634790748528,0.31212530910956005,0.4666666666666667,0.5954628595002518,0.41953990368077054,0.4,0.5142805480445227,0.41953990368077054,0.3,0.12495631752277092,0.07934065934065933,0.05555555555555556,0.4458908010355996,0.2890227515737679,0.3055555555555556,0.3711111111111111,0.52
haberman,7,0.19844357976653693,0.4706252118227532,0.19631135854665266,0.45476190476190476,0.3620678585260325,0.18690476190476188,0.19047619047619047,0.18569609800447273,0.18690476190476188,0.09761904761904762,0.05225092085464844,0.03636363636363636,0.02857142857142857,0.2676600223019767,0.13203169134051485,0.19285714285714284,0.4529166666666667,0.5620833333333334
haberman,9,0.14800000000000002,0.5408867063732439,0.2613071895424837,0.4600000000000001,0.3455469106927612,0.18596681096681097,0.16,0.25866861158439847,0.18596681096681097,0.12,0.0874266018607911,0.0507936507936508,0.04,0.3081322076277987,0.15818754774637128,0.19500000000000003,0.4711111111111111,0.5488888888888889
haberman,11,0.13469387755102036,0.2874106025954163,0.14231601731601734,0.2,0.3631844416608737,0.2426262626262626,0.2,0.2909574219155039,0.2426262626262626,0.15,0.17149203529842405,0.0828828828828829,0.2,0.2782611253675545,0.15673803673803674,0.18750000000000003,0.46055555555555555,0.5372222222222222
haberman,13,0.12396694214876036,0.1427248064296125,0.07333333333333333,0.13333333333333333,0.0,0.0,0.0,0.04830458915396485,0.0,0.025,0.04216370213557841,0.011111111111111112,0.025,0.05829827442978894,0.027361111111111114,0.04583333333333333,0.5266666666666666,0.5555555555555556
heart,1,0.37083333333333335,0.6936937314254614,0.6831450716377311,0.6583333333333334,0.7121547772062202,0.7238897834478456,0.7541666666666667,0.8323583025111858,0.7238897834478456,0.85,0.4935891285453545,0.5500517101096941,0.5666666666666667,0.6829489849220556,0.698194453686184,0.7072916666666667,0.37083333333333335,0.4916666666666667
heart,3,0.22999999999999998,0.692751286727764,0.7731441696306287,0.7033333333333334,0.6978796606576365,0.8929355223409295,0.9333333333333333,0.8217807964496183,0.8929355223409295,0.9633333333333333,0.447835800350321,0.787853137083532,0.8333333333333334,0.665061886046335,0.8473771881889122,0.8583333333333334,0.33333333333333337,0.43333333333333335
heart,5,0.21111111111111114,0.6864011503917308,0.8119916695674909,0.7433333333333334,0.5865031038932551,0.9197102660471911,0.96,0.7085508586560639,0.9197102660471911,0.9666666666666666,0.3559652773949268,0.916507463392709,0.9666666666666666,0.5843550975839942,0.8965885417765067,0.9091666666666667,0.3933333333333333,0.4666666666666667
heart,7,0.08771929824561409,0.6509497812876827,0.8434679921538943,0.7833333333333333,0.635697056790516,0.9494018421022927,0.9766666666666668,0.6053889700393407,0.9494018421022927,0.9800000000000001,0.3783943073282874,0.9456881279746167,0.9833333333333334,0.5676075288614566,0.921704134170302,0.9308333333333334,0.2957142857142857,0.4104761904761905
heart,9,0.11377245508982037,0.7166913314083769,0.8821123238659581,0.8266666666666668,0.5050067557901621,0.9318967211981493,0.9366666666666668,0.5805085276796751,0.9318967211981493,0.9800000000000001,0.3067045414383196,0.9554250526866959,0.9933333333333334,0.5272277890791335,0.9314200958536814,0.9341666666666667,0.35019607843137257,0.44235294117647056
heart,11,0.060975609756097615,0.7388589814506539,0.8972348583183629,0.8466666666666667,0.6691475599906394,0.9671504031884604,0.9833333333333334,0.6432865877735832,0.9671504031884604,0.99,0.30205915171580855,0.9500771850202618,0.9733333333333334,0.5883380702326713,0.9462903742919915,0.9483333333333335,0.29238095238095235,0.42952380952380953
heart,13,0.0864197530864198,0.7203288295609866,0.912337935749467,0.8666666666666666,0.45715683844448807,0.9573090494073921,0.9666666666666666,0.45485929382823265,0.9573090494073921,0.9966666666666667,0.15117183680815327,0.964612575860593,0.9966666666666667,0.4458791996604652,0.9512793144693161,0.9566666666666666,0.39166666666666666,0.45666666666666667
ionosphere,1,0.14682539682539686,0.9442014325702208,0.945288398087827,0.9566153846153848,0.8480959434436622,0.8723210028121897,0.9681538461538463,0.9199144989393814,0.8723210028121897,0.9447692307692309,0.8883174253789917,0.9015970287479037,0.9723076923076924,0.9001323250830641,0.9104863356097495,0.9604615384615386,0.1468253968253968,0.2619047619047619
ionosphere,3,0.1166666666666667,0.8029420331271521,0.9388169105703057,0.9844444444444445,0.7579251440396215,0.9302361892544511,0.9888888888888889,0.9115485084282644,0.9302361892544511,0.9822222222222223,0.8511054704802659,0.9531393930040565,0.9911111111111112,0.830880289018826,0.9470850649159543,0.9866666666666668,0.22,0.28888888888888886
ionosphere,5,0.11111111111111116,0.7275068279443732,0.9486486941821031,0.9844444444444445,0.6517166442008404,0.9408082658465468,0.9866666666666667,0.9138724998292098,0.9408082658465468,0.9911111111111112,0.7784334037024878,0.9545923047968096,0.9822222222222223,0.7678823439192277,0.9560727668017446,0.986111111111111,0.30666666666666664,0.35777777777777775
