"dataset","svm","knn","mlp","rf","tree","nb"
"02a",0.90427,0.89126,0.09256,0.87582,0.83918,0.272
"02b",0.90223,0.93036,0.06684,0.89064,0.87019,0.201
"subcl5",0.30462,0.80251,0.07131,0.96803,0.98009,0.316
"subcl5-noise",0.79929,0.69366,0.03803,0.85829,0.73559,0.303
"clover",0.26466,0.86811,0.46905,0.79799,0.73348,0.218
"clover-noise",0.23882,0.62557,0.17889,0.57503,0.50469,0.247
"paw-2d",0.48821,0.46428,0.18503,0.42538,0.45418,0.158
"paw-2d-border-dense-center",0.65118,0.66762,0.32856,0.56713,0.57804,0.157
"paw-2d-only-border",0.09684,0.28185,0.10727,0.26163,0.37983,0.16
"paw-2d-very-dense-center",0.92291,0.89797,0.45006,0.86915,0.82399,0.139
"gaussian_overlap_1std",0.28052,0.31638,0.30675,0.31336,0.34107,0.39
"gaussian_overlap_2std",0.60448,0.57093,0.63515,0.58244,0.56086,0.438
"gaussian_overlap_3std",0.84993,0.85497,0.83587,0.84934,0.83016,0.529
"gaussian_overlap_4std",0.97505,0.9743,0.97198,0.98624,0.98185,0.649
"local_imbalance_degree_005",0.98461,0.96697,0.97093,0.97888,0.98457,0.545
"local_imbalance_degree_01",0.96823,0.967,0.96388,0.96716,0.9685,0.547
"local_imbalance_degree_02",0.91759,0.85822,0.92007,0.9295,0.89676,0.529
"local_imbalance_degree_05",0.79281,0.7487,0.76648,0.75965,0.75363,0.363
"uniform_overlap_10",0.57696,0.7782,0.68606,0.79193,0.80116,0.463
"uniform_overlap_20",0.49713,0.72401,0.5862,0.80477,0.79047,0.453
"uniform_overlap_40",0.3837,0.495,0.15827,0.55588,0.52461,0.359
"uniform_overlap_60",0.3068,0.3659,0.09351,0.38897,0.39936,0.318
"uniform_overlap_80",0.26693,0.26299,0,0.28737,0.24764,0.296
"uniform_only_boundary_no_overlap",0.92463,0.9426,0.72379,1,1,0.412
"multi_model_no_overlap",0.52763,0.53437,0.34394,0.99375,0.99534,0.396
"multi_modal_overlap",0.65315,0.7975,0.6,0.65157,0.67281,0.378
"appendicitis",0.65675,0.59944,0.59416,0.6054,0.5928,0.363
"australian",0.56405,0.56778,0.29301,0.85096,0.82708,0.806
"banana",0.61267,0.88146,0.79794,0.8805,0.87698,0.421
"bands",0.47416,0.5571,0.25772,0.61164,0.53468,0.538
"bupa",0.47284,0.57603,0.35467,0.66063,0.62501,0.628
"coil-2000",0.14092,0.1444,0.01345,0.11321,0.14493,0.189
"haberman",0.40158,0.40482,0.22779,0.36359,0.33005,0.474
"heart",0.65925,0.61105,0.59825,0.81433,0.78265,0.799
"hepatitis",0.57113,0.45873,0.39095,0.59714,0.50095,0.599
"ionosphere",0.86504,0.78384,0.88585,0.91158,0.85586,0.665
"monk-2",0.97167,0.9833,0.92943,1,1,0.722
"phoneme",0.5376,0.83127,0.68046,0.84773,0.77495,0.631
"pima",0.47504,0.60628,0.19215,0.65156,0.63354,0.536
"saheart",0.48227,0.51271,0.4252,0.51227,0.53645,0.561
"spectfheart",0.43363,0.43502,0.03438,0.41335,0.74597,0.724
"sonar",0.84401,0.80587,0.68751,0.81987,0.89296,0.821
"spambase",0.56545,0.77233,0.86434,0.94464,0.41876,0.466
"titanic",0.72586,0.74453,0.73967,0.76043,0.76384,0.699
"wdbc",0.85051,0.91079,0.80867,0.95959,0.92489,0.81
"wisconsin",0.72662,0.96357,0.95655,0.96589,0.9263,0.851
"usps",0.93997,0.93192,0.90597,0.80342,0.67223,0.683
