dataset,knn,svm,rf,mlp
02a,0.92953,0.91021,0.9204,0.05303
02b,0.95269,0.9329,0.93331,0.10159
subcl5,0.87715,0.81573,0.98124,0.12524
subcl5-noise,0.81209,0.81934,0.88395,0.0476
clover,0.90647,0.83645,0.87916,0.6159
clover-noise,0.70109,0.63524,0.70847,0.33987
paw-2d,0.62275,0.6182,0.6091,0.24684
paw-2d-border-dense-center,0.7603,0.76585,0.71222,0.36436
paw-2d-only-border,0.52398,0.23255,0.50092,0.14207
paw-2d-very-dense-center,0.98237,0.97179,0.92058,0.59878
gaussian_overlap_1std,0.52046,0.44642,0.49547,0.4636
gaussian_overlap_2std,0.70749,0.69789,0.71033,0.73709
gaussian_overlap_3std,0.90739,0.89562,0.90548,0.91843
gaussian_overlap_4std,0.98762,0.98823,0.98853,0.98877
local_imbalance_degree_005,0.9845,0.98484,0.98484,0.98332
local_imbalance_degree_01,0.96943,0.96943,0.96938,0.96419
local_imbalance_degree_02,0.9261,0.92117,0.93639,0.92222
local_imbalance_degree_05,0.82835,0.81498,0.83234,0.82419
uniform_overlap_10,0.84334,0.81078,0.8573,0.74359
uniform_overlap_20,0.8348,0.80173,0.84959,0.7137
uniform_overlap_40,0.66619,0.65238,0.64951,0.28683
uniform_overlap_60,0.58586,0.56854,0.53201,0.09941
uniform_overlap_80,0.47384,0.54664,0.4311,0.05572
uniform_only_boundary_no_overlap,0.93339,0.9994,1,0.59434
multi_model_no_overlap,0.96641,0.97395,0.99047,0.88897
multi_modal_overlap,0.81782,0.82515,0.8325,0.74134
