dataset,knn,svm,rf,mlp
02a,0.9241,0.96595,0.93197,0.0375
02b,0.9417,0.93907,0.90648,0.05227
subcl5,0.84527,0.22196,0.98205,0.12301
subcl5-noise,0.95725,0.19108,0.94032,0.60757
clover,0.86286,0.88658,0.84105,0.54805
clover-noise,0.77452,0.78063,0.65921,0.60611
paw-2d,0.58952,0.65698,0.44281,0.5206
paw-2d-border-dense-center,0.77877,0.72059,0.6526,0.19889
paw-2d-only-border,0.34167,0.19437,0.27309,0.56663
paw-2d-very-dense-center,0.83473,0.86636,0.87224,0.6669
gaussian_overlap_1std,0.32051,0.64583,0.43335,0.71292
gaussian_overlap_2std,0.57721,0.78181,0.69766,0.83531
gaussian_overlap_3std,0.87473,0.88675,0.86216,0.97401
gaussian_overlap_4std,0.9736,0.9826,0.99109,1
local_imbalance_degree_005,0.96738,1,1,0.99688
local_imbalance_degree_01,1,1,1,0.99322
local_imbalance_degree_02,0.89728,1,0.98407,0.88625
local_imbalance_degree_05,0.81947,1,0.89617,0.92213
uniform_overlap_10,0.78945,0.97418,0.89523,0.76315
uniform_overlap_20,0.76553,0.99545,0.90222,0.59947
uniform_overlap_40,0.51402,0.25245,0.70707,0.37593
uniform_overlap_60,0.39497,0.20546,0.59146,0.02016
uniform_overlap_80,0.27095,0.20196,0.53925,0.42753
uniform_only_boundary_no_overlap,0.90407,0.97729,1,0.82391
multi_model_no_overlap,0.95826,0.9651,1,0.79583
multi_modal_overlap,0.80802,0.87268,0.85999,0.84833
appendicitis,0.74167,0.8,0.79333,0.679
australian,0.67933,0.5256,0.87886,0.83043
banana,0.91628,0.9294,0.89241,0.36855
bands,0.63626,0.48514,0.76115,0.38876
bupa,0.66924,0.70178,0.72455,0.14333
coil-2000,0.14718,0.08384,0.23628,0.3678
haberman,0.4377,0.32876,0.4313,0.56303
heart,0.71927,0.68303,0.85728,0.24476
hepatitis,0.525,0.46524,0.9,0.94983
ionosphere,0.92833,0.89774,0.94595,0.93444
monk-2,0.99286,1,1,0.64397
phoneme,0.8525,0.85468,0.86468,0.32231
pima,0.69457,0.66353,0.68428,0.26744
saheart,0.64601,0.62608,0.58407,0.025
spectfheart,0.40239,0.39416,0.69683,0.80016
sonar,0.84045,0.85947,0.90696,0.91544
spambase,0.77203,0.78737,0.95655,0.80587
titanic,0.7675,0.7987,0.78582,0.81879
wdbc,0.92978,0.89769,0.96919,0.9456
wisconsin,0.96295,0.94753,0.95578,0.92941
usps,0.96808,0.96714,0.94107,
