"dataset","svm","knn","mlp","rf","tree","nb"
"02a",0.97411,0.91293,0.09788,0.89374,0.82905,0.184
"02b",0.92347,0.94368,0.05283,0.88753,0.84535,0.135
"subcl5",0.20539,0.82691,0.0464,0.97965,0.99697,0.213
"subcl5-noise",0.97888,0.68398,0.09099,0.9422,0.68004,0.204
"clover",0.17524,0.88908,0.58435,0.80141,0.68519,0.145
"clover-noise",0.16029,0.78968,0.34247,0.64712,0.44873,0.164
"paw-2d",0.68675,0.55971,0.33054,0.45236,0.42362,0.096
"paw-2d-border-dense-center",0.72484,0.77902,0.55382,0.64135,0.55608,0.095
"paw-2d-only-border",0.17286,0.27605,0.18461,0.27297,0.35626,0.097
"paw-2d-very-dense-center",0.90035,0.82262,0.53658,0.88357,0.79989,0.084
"gaussian_overlap_1std",0.34444,0.3252,0.64928,0.41964,0.38816,0.274
"gaussian_overlap_2std",0.775,0.62332,0.69932,0.65422,0.57427,0.314
"gaussian_overlap_3std",0.88118,0.87988,0.82814,0.85782,0.83217,0.39
"gaussian_overlap_4std",0.96847,0.97315,0.96002,0.99412,0.98822,0.501
"local_imbalance_degree_005",1,0.96484,0.97857,0.98512,1,0.398
"local_imbalance_degree_01",1,0.99697,1,0.99706,1,0.402
"local_imbalance_degree_02",1,0.84734,1,0.9872,0.91708,0.397
"local_imbalance_degree_05",0.98191,0.82918,0.89163,0.83002,0.7703,0.259
"uniform_overlap_10",0.43661,0.8448,0.74602,0.86843,0.83282,0.33
"uniform_overlap_20",0.34894,0.72888,0.60925,0.89345,0.8016,0.323
"uniform_overlap_40",0.25654,0.50106,0.30297,0.74176,0.55193,0.247
"uniform_overlap_60",0.19943,0.37716,0.11502,0.57776,0.45165,0.218
"uniform_overlap_80",0.17059,0.25911,0,0.5348,0.25464,0.2
"uniform_only_boundary_no_overlap",0.99412,0.90472,0.3783,1,1,0.291
"multi_model_no_overlap",1,0.96241,0.95556,0.99394,0.99394,0.275
"multi_modal_overlap",0.8672,0.54937,0.68298,0.74381,0.73336,0.261
"appendicitis",0.73167,0.56024,0.66857,0.71333,0.6197,0.268
"australian",0.45195,0.58882,0.49368,0.83873,0.84698,0.754
"banana",0.44542,0.88997,0.80883,0.88719,0.88651,0.389
"bands",0.42303,0.62248,0.23593,0.73267,0.56727,0.454
"bupa",0.4335,0.57019,0.36749,0.70415,0.5878,0.516
"coil-2000",0.08264,0.14521,0.04485,0.21246,0.17452,0.112
"haberman",0.29608,0.41973,0.28273,0.4029,0.35597,0.464
"heart",0.58164,0.61627,0.5547,0.83958,0.78975,0.762
"hepatitis",0.48274,0.4019,0.33833,0.69,0.43667,0.511
"ionosphere",0.77489,0.92681,0.94746,0.93851,0.86121,0.65
"monk-2",0.94532,0.96752,0.91246,1,1,0.682
"phoneme",0.37121,0.85356,0.62205,0.85626,0.77974,0.529
"pima",0.41404,0.65324,0.26189,0.68364,0.65283,0.499
"saheart",0.39005,0.63499,0.47728,0.58367,0.53654,0.502
"spectfheart",0.39539,0.40337,0.02075,0.62333,0.71664,0.723
"sonar",0.81834,0.85832,0.62337,0.85236,0.89269,0.722
"spambase",0.39417,0.76997,0.83451,0.95701,0.42427,0.332
"titanic",0.68834,0.76758,0.7829,0.77645,0.7943,0.696
"wdbc",0.84222,0.94117,0.84164,0.96972,0.90736,0.757
"wisconsin",0.57124,0.95686,0.94537,0.95536,0.91399,0.767
"usps",0.96892,0.96531,0.90622,0.95638,0.67284,0.597
