dataset,knn,svm,rf,mlp
02a,0.8825,0.8375,0.855,0
02b,0.92522,0.87718,0.90419,0.07273
subcl5,0.79358,0.63485,0.96096,0.06667
subcl5-noise,0.66493,0.55472,0.78938,0.03758
clover,0.84715,0.72112,0.79964,0.38922
clover-noise,0.508,0.43,0.522,0.124
paw-2d,0.41333,0.37667,0.38667,0.11667
paw-2d-border-dense-center,0.59333,0.59,0.54,0.24667
paw-2d-only-border,0.30333,0.05667,0.27,0.06667
paw-2d-very-dense-center,0.99,0.95333,0.86667,0.43333
gaussian_overlap_1std,0.30731,0.13556,0.26863,0.23217
gaussian_overlap_2std,0.54572,0.50062,0.52968,0.58093
gaussian_overlap_3std,0.84073,0.81916,0.85258,0.88592
gaussian_overlap_4std,0.97879,0.982,0.97897,0.98209
local_imbalance_degree_005,0.97299,0.97014,0.97005,0.96408
local_imbalance_degree_01,0.93975,0.93993,0.93993,0.93057
local_imbalance_degree_02,0.87647,0.84955,0.87959,0.8525
local_imbalance_degree_05,0.70472,0.6656,0.70544,0.70116
uniform_overlap_10,0.75357,0.66533,0.74135,0.66809
uniform_overlap_20,0.74037,0.63868,0.7475,0.53503
uniform_overlap_40,0.49127,0.73164,0.44037,0.22362
uniform_overlap_60,0.37335,0.6303,0.30419,0.09661
uniform_overlap_80,0.27718,0.61399,0.20481,0.07647
uniform_only_boundary_no_overlap,0.89144,0.99394,1,0.52442
multi_model_no_overlap,0.981,0.986,0.998,0.946
multi_modal_overlap,0.781,0.735,0.803,0.725
appendicitis,0.595,0.55,0.625,0.62
australian,0.51957,0.72771,0.84852,0.24749
banana,0.86805,0.85816,0.87647,0.70829
bands,0.4963,0.50741,0.54074,0.28889
bupa,0.54483,0.53103,0.62414,0.34828
coil-2000,0.14761,0.49314,0.07848,0.01111
haberman,0.41949,0.56838,0.36324,0.22059
heart,0.57917,0.59583,0.80417,0.55417
hepatitis,0.5,0.71667,0.53333,0.53333
ionosphere,0.69538,0.95262,0.88908,0.81292
monk-2,1,1,1,0.97073
phoneme,0.81369,0.78247,0.8408,0.73046
pima,0.54658,0.45709,0.63064,0.24259
saheart,0.44062,0.425,0.47812,0.25312
spectfheart,0.51818,0.5,0.32727,0.01818
sonar,0.80342,0.87105,0.79026,0.74947
spambase,0.78065,0.80216,0.9335,0.89818
titanic,0.72091,0.72087,0.74872,0.715
wdbc,0.89635,0.91977,0.95775,0.7938
wisconsin,0.96862,0.97704,0.97908,0.97074
usps,0.905,0.91333,0.69667,0.90333
