"dataset","svm","mlp","knn","rf","tree","nb"
"02a",0.845,0.1525,0.875,0.8625,0.855,0.52
"02b",0.88351,0.13333,0.91943,0.89545,0.89848,0.398
"subcl5",0.5967,0.15508,0.78761,0.95784,0.96417,0.617
"subcl5-noise",0.67611,0.02781,0.70466,0.78859,0.80288,0.593
"clover",0.54189,0.39804,0.85009,0.80205,0.79367,0.44
"clover-noise",0.476,0.156,0.524,0.522,0.584,0.5
"paw-2d",0.38667,0.13667,0.40333,0.40333,0.49667,0.46
"paw-2d-border-dense-center",0.59667,0.24333,0.59,0.52333,0.61333,0.45
"paw-2d-only-border",0.07,0.08667,0.29,0.26,0.41667,0.467
"paw-2d-very-dense-center",0.95,0.41333,0.99,0.85667,0.85667,0.397
"gaussian_overlap_1std",0.24314,0.22282,0.31346,0.25891,0.31105,0.681
"gaussian_overlap_2std",0.49706,0.59394,0.53004,0.53004,0.55446,0.729
"gaussian_overlap_3std",0.82228,0.86729,0.83458,0.84358,0.83164,0.828
"gaussian_overlap_4std",0.98209,0.98503,0.97585,0.97897,0.97594,0.922
"local_imbalance_degree_005",0.97005,0.96684,0.96988,0.97299,0.97014,0.874
"local_imbalance_degree_01",0.94011,0.93102,0.94002,0.94011,0.9402,0.855
"local_imbalance_degree_02",0.84991,0.85258,0.87335,0.87959,0.87932,0.795
"local_imbalance_degree_05",0.66898,0.6869,0.69866,0.70214,0.74073,0.611
"uniform_overlap_10",0.86729,0.69216,0.72576,0.73494,0.77745,0.78
"uniform_overlap_20",0.87317,0.61061,0.72299,0.73503,0.78342,0.765
"uniform_overlap_40",0.7648,0.13476,0.49109,0.4516,0.50365,0.654
"uniform_overlap_60",0.70829,0.07879,0.35856,0.29777,0.36542,0.59
"uniform_overlap_80",0.64768,0,0.26827,0.20802,0.24715,0.573
"uniform_only_boundary_no_overlap",0.99697,0.42424,0.87923,1,1,0.705
"multi_model_no_overlap",0.8625,0.6,0.925,0.99375,0.99688,0.706
"multi_modal_overlap",0.38438,0.2625,0.52188,0.59062,0.625,0.694
"appendicitis",0.615,0.605,0.655,0.595,0.625,0.605
"australian",0.77829,0.361,0.5505,0.86483,0.80955,0.868
"banana",0.98106,0.80096,0.87331,0.87416,0.86785,0.459
"bands",0.6037,0.33704,0.50741,0.53704,0.51111,0.667
"bupa",0.55517,0.35172,0.58621,0.62759,0.67241,0.807
"coil-2000",0.49581,0.00855,0.14422,0.0777,0.12461,0.607
"haberman",0.65368,0.19816,0.40147,0.34118,0.31434,0.492
"heart",0.76667,0.675,0.60833,0.79583,0.78333,0.842
"hepatitis",0.8,0.56667,0.6,0.58333,0.7,0.767
"ionosphere",0.98415,0.83385,0.69092,0.88923,0.85338,0.685
"monk-2",1,0.95122,1,1,1,0.77
"phoneme",0.97635,0.75317,0.81054,0.84017,0.77112,0.781
"pima",0.56751,0.20926,0.56716,0.62519,0.61929,0.582
"saheart",0.63438,0.41562,0.43438,0.4625,0.54062,0.638
"spectfheart",0.49091,0.1,0.48182,0.31818,0.78368,0.737
"sonar",0.88658,0.84211,0.76263,0.79868,0.89349,0.953
"spambase",1,0.91557,0.77511,0.93267,0.44545,0.8
"titanic",0.7689,0.70774,0.72534,0.74695,0.74007,0.705
"wdbc",0.86556,0.79164,0.88439,0.95044,0.9433,0.873
"wisconsin",1,0.96853,0.9707,0.97704,0.94153,0.956
"usps",0.91333,0.90667,0.90167,0.69667,0.67333,0.803
