"02a",0.91677,0.90427,0.845,0.97411," ('degree'"," 2)","('gamma'"," 0.0009765625)","('kernel'"," 'rbf')"
"02b",0.93261,0.90223,0.88351,0.92347," ('degree'"," 3)","('gamma'"," 0.0009765625)","('kernel'"," 'rbf')"
"subcl5",0.56153,0.30462,0.5967,0.20539," ('degree'"," 2)","('gamma'"," 32)","('kernel'"," 'linear')"
"subcl5-noise",0.82082,0.79929,0.67611,0.97888," ('degree'"," 4)","('gamma'"," 0.0009765625)","('kernel'"," 'rbf')"
"clover",0.51256,0.26466,0.54189,0.17524," ('degree'"," 5)","('gamma'"," 0.25)","('kernel'"," 'linear')"
"clover-noise",0.4632,0.23882,0.476,0.16029," ('degree'"," 5)","('gamma'"," 8)","('kernel'"," 'linear')"
"paw-2d",0.61289,0.48821,0.38667,0.68675," ('degree'"," 2)","('gamma'"," 0.125)","('kernel'"," 'rbf')"
"paw-2d-border-dense-center",0.76116,0.65118,0.59667,0.72484," ('degree'"," 4)","('gamma'"," 0.125)","('kernel'"," 'rbf')"
"paw-2d-only-border",0.22197,0.09684,0.07,0.17286," ('degree'"," 3)","('gamma'"," 1)","('kernel'"," 'rbf')"
"paw-2d-very-dense-center",0.96851,0.92291,0.95,0.90035," ('degree'"," 2)","('gamma'"," 0.5)","('kernel'"," 'rbf')"
"gaussian_overlap_1std",0.461,0.28052,0.24314,0.34444," ('degree'"," 2)","('gamma'"," 0.125)","('kernel'"," 'sigmoid')"
"gaussian_overlap_2std",0.69218,0.60448,0.49706,0.775," ('degree'"," 4)","('gamma'"," 0.25)","('kernel'"," 'linear')"
"gaussian_overlap_3std",0.89629,0.84993,0.82228,0.88118," ('degree'"," 2)","('gamma'"," 0.125)","('kernel'"," 'linear')"
"gaussian_overlap_4std",0.98769,0.97505,0.98209,0.96847," ('degree'"," 3)","('gamma'"," 0.015625)","('kernel'"," 'linear')"
"local_imbalance_degree_005",0.98482,0.98461,0.97005,1," ('degree'"," 3)","('gamma'"," 2)","('kernel'"," 'rbf')"
"local_imbalance_degree_01",0.96914,0.96823,0.94011,1," ('degree'"," 3)","('gamma'"," 2)","('kernel'"," 'rbf')"
"local_imbalance_degree_02",0.92126,0.91759,0.84991,1," ('degree'"," 4)","('gamma'"," 8)","('kernel'"," 'rbf')"
