dataset,knn,svm,rf,mlp
02a,0.977,0.909,0.973,0.898
02b,0.978,0.923,0.978,0.891
subcl5,0.965,0.909,0.98,0.897
subcl5-noise,0.964,0.909,0.974,0.901
clover,0.967,0.909,0.958,0.918
clover-noise,0.938,0.909,0.924,0.911
paw-2d,0.945,0.947,0.94,0.947
paw-2d-border-dense-center,0.958,0.947,0.955,0.951
paw-2d-only-border,0.923,0.947,0.919,0.947
paw-2d-very-dense-center,0.987,0.947,0.985,0.956
gaussian_overlap_1std,0.31,0.169,0.302,0.283
gaussian_overlap_2std,0.579,0.567,0.558,0.596
gaussian_overlap_3std,0.827,0.843,0.833,0.847
gaussian_overlap_4std,0.973,0.976,0.983,0.974
local_imbalance_degree_005,0.972,0.972,0.982,0.968
local_imbalance_degree_01,0.969,0.946,0.968,0.945
local_imbalance_degree_02,0.909,0.907,0.923,0.911
local_imbalance_degree_05,0.78,0.791,0.77,0.789
uniform_overlap_10,0.772,0.767,0.795,0.749
uniform_overlap_20,0.775,0.748,0.8,0.755
uniform_overlap_40,0.463,0.432,0.534,0.444
uniform_overlap_60,0.317,0.169,0.358,0
uniform_overlap_80,0.134,0,0.271,0
uniform_only_boundary_no_overlap,0.834,0,1,0.608
multi_model_no_overlap,0.955,0.929,0.986,0.858
multi_modal_overlap,0.814,0.782,0.823,0.764
