dataset,knn,svm,rf,mlp
02a,0.902,0,0.898,0.118
02b,0.927,0.672,0.924,0.206
subcl5,0.822,0,0.904,0.069
subcl5-noise,0.806,0,0.873,0.134
clover,0.884,0,0.853,0.468
clover-noise,0.704,0,0.67,0.209
paw-2d,0.597,0,0.596,0.055
paw-2d-border-dense-center,0.729,0,0.695,0.276
paw-2d-only-border,0.482,0,0.363,0.018
paw-2d-very-dense-center,0.959,0,0.911,0.375
gaussian_overlap_1std,0.47,0.308,0.462,0.419
gaussian_overlap_2std,0.697,0.648,0.68,0.695
gaussian_overlap_3std,0.889,0.888,0.891,0.894
gaussian_overlap_4std,0.984,0.985,0.986,0.985
local_imbalance_degree_005,0.972,0.972,0.984,0.969
local_imbalance_degree_01,0.969,0.947,0.969,0.947
local_imbalance_degree_02,0.917,0.911,0.929,0.915
local_imbalance_degree_05,0.817,0.809,0.82,0.808
uniform_overlap_10,0.82,0.79,0.838,0.778
uniform_overlap_20,0.811,0.773,0.834,0.796
uniform_overlap_40,0.577,0.524,0.634,0.545
uniform_overlap_60,0.46,0.301,0.494,0
uniform_overlap_80,0.283,0,0.421,0
uniform_only_boundary_no_overlap,0.872,0,1,0.741
multi_model_no_overlap,0.956,0.931,0.986,0.861
multi_modal_overlap,0.804,0.782,0.819,0.753
