dataset,knn,svm,rf,mlp
02a,0.989,1,0.981,0.971
02b,0.981,0.946,0.982,0.943
subcl5,0.991,1,0.994,0.969
subcl5-noise,0.994,1,0.994,0.973
clover,0.973,1,0.963,0.979
clover-noise,0.969,1,0.95,0.995
paw-2d,0.957,1,0.948,0.998
paw-2d-border-dense-center,0.966,1,0.965,0.997
paw-2d-only-border,0.928,1,0.931,0.999
paw-2d-very-dense-center,0.981,1,0.987,0.997
gaussian_overlap_1std,0.235,0.099,0.229,0.187
gaussian_overlap_2std,0.516,0.434,0.494,0.503
gaussian_overlap_3std,0.819,0.807,0.819,0.819
gaussian_overlap_4std,0.973,0.976,0.973,0.976
local_imbalance_degree_005,0.946,0.946,0.97,0.939
local_imbalance_degree_01,0.94,0.897,0.94,0.898
local_imbalance_degree_02,0.843,0.831,0.865,0.837
local_imbalance_degree_05,0.678,0.657,0.69,0.654
uniform_overlap_10,0.686,0.626,0.717,0.608
uniform_overlap_20,0.666,0.6,0.705,0.644
uniform_overlap_40,0.347,0.283,0.416,0.304
uniform_overlap_60,0.225,0.093,0.265,0
uniform_overlap_80,0.09,0,0.187,0
uniform_only_boundary_no_overlap,0.774,0,1,0.675
multi_model_no_overlap,0.937,0.894,0.985,0.831
multi_modal_overlap,0.851,0.779,0.843,0.796
