"02a",0.528,0.272,0.52,0.184
"02b",0.439,0.201,0.398,0.135
"subcl5",0.577,0.316,0.617,0.213
"subcl5-noise",0.563,0.303,0.593,0.204
"clover",0.459,0.218,0.44,0.145
"clover-noise",0.493,0.247,0.5,0.164
"paw-2d",0.485,0.158,0.46,0.096
"paw-2d-border-dense-center",0.482,0.157,0.45,0.095
"paw-2d-only-border",0.489,0.16,0.467,0.097
"paw-2d-very-dense-center",0.449,0.139,0.397,0.084
"gaussian_overlap_1std",0.659,0.39,0.681,0.274
"gaussian_overlap_2std",0.704,0.438,0.729,0.314
"gaussian_overlap_3std",0.782,0.529,0.828,0.39
"gaussian_overlap_4std",0.867,0.649,0.922,0.501
"local_imbalance_degree_005",0.8,0.545,0.874,0.398
"local_imbalance_degree_01",0.798,0.547,0.855,0.402
"local_imbalance_degree_02",0.776,0.529,0.795,0.397
"local_imbalance_degree_05",0.628,0.363,0.611,0.259
"uniform_overlap_10",0.729,0.463,0.78,0.33
"uniform_overlap_20",0.719,0.453,0.765,0.323
"uniform_overlap_40",0.627,0.359,0.654,0.247
"uniform_overlap_60",0.582,0.318,0.59,0.218
"uniform_overlap_80",0.556,0.296,0.573,0.2
"uniform_only_boundary_no_overlap",0.68,0.412,0.705,0.291
"multi_model_no_overlap",0.674,0.396,0.706,0.275
"multi_modal_overlap",0.657,0.378,0.694,0.261
"appendicitis",0.57,0.363,0.605,0.268
"australian",0.818,0.806,0.868,0.754
"banana",0.436,0.421,0.459,0.389
"bands",0.588,0.538,0.667,0.454
"bupa",0.595,0.628,0.807,0.516
"coil-2000",0.648,0.189,0.607,0.112
"haberman",0.62,0.474,0.492,0.464
"heart",0.813,0.799,0.842,0.762
"hepatitis",0.788,0.599,0.767,0.511
"ionosphere",0.734,0.665,0.685,0.65
"monk-2",0.721,0.722,0.77,0.682
"phoneme",0.745,0.631,0.781,0.529
"pima",0.631,0.536,0.582,0.499
"saheart",0.649,0.561,0.638,0.502
"sonar",0.738,0.724,0.737,0.723
"spambase",0.851,0.821,0.953,0.722
"spectfheart",0.67,0.466,0.8,0.332
"titanic",0.752,0.699,0.705,0.696
"wdbc",0.852,0.81,0.873,0.757
"wisconsin",0.897,0.851,0.956,0.767
"usps",0.831,0.683,0.803,0.597
02a, 0.526, 0.27, 0.52, 0.183 
02b, 0.444, 0.204, 0.401, 0.137 
subcl5, 0.578, 0.318, 0.623, 0.214 
subcl5-noise, 0.563, 0.303, 0.592, 0.204 
clover, 0.433, 0.198, 0.395, 0.132 
clover-noise, 0.484, 0.237, 0.462, 0.16 
paw-2d, 0.482, 0.156, 0.457, 0.094 
paw-2d-border-dense-center, 0.48, 0.156, 0.45, 0.094 
paw-2d-only-border, 0.488, 0.159, 0.463, 0.096 
paw-2d-very-dense-center, 0.457, 0.142, 0.407, 0.086 
gaussian_overlap_1std, 0.658, 0.389, 0.681, 0.272 
gaussian_overlap_2std, 0.699, 0.434, 0.722, 0.311 
gaussian_overlap_3std, 0.788, 0.536, 0.84, 0.395 
gaussian_overlap_4std, 0.87, 0.654, 0.925, 0.508 
local_imbalance_degree_005, 0.798, 0.543, 0.87, 0.396 
local_imbalance_degree_01, 0.797, 0.545, 0.855, 0.4 
local_imbalance_degree_02, 0.783, 0.539, 0.807, 0.406 
local_imbalance_degree_05, 0.627, 0.361, 0.612, 0.257 
uniform_overlap_10, 0.733, 0.466, 0.789, 0.331 
uniform_overlap_20, 0.715, 0.449, 0.757, 0.32 
uniform_overlap_40, 0.622, 0.355, 0.648, 0.246 
uniform_overlap_60, 0.578, 0.315, 0.587, 0.216 
uniform_overlap_80, 0.557, 0.298, 0.575, 0.201 
uniform_only_boundary_no_overlap, 0.68, 0.413, 0.708, 0.292 
multi_model_no_overlap, 0.673, 0.395, 0.706, 0.275 
multi_modal_overlap, 0.661, 0.382, 0.7, 0.263 
appendicitis, 0.661, 0.466, 0.715, 0.355 
australian, 0.816, 0.805, 0.866, 0.754 
banana, 0.436, 0.421, 0.459, 0.389 
bands, 0.596, 0.545, 0.681, 0.458 
bupa, 0.582, 0.616, 0.793, 0.504 
coil-2000, 0.644, 0.186, 0.599, 0.11 
haberman, 0.609, 0.463, 0.481, 0.455 
heart, 0.812, 0.798, 0.842, 0.763 
hepatitis, 0.802, 0.595, 0.8, 0.5 
ionosphere, 0.727, 0.657, 0.675, 0.643 
monk-2, 0.721, 0.719, 0.755, 0.69 
phoneme, 0.744, 0.629, 0.779, 0.528 
pima, 0.622, 0.528, 0.585, 0.483 
saheart, 0.65, 0.561, 0.638, 0.503 
sonar, 0.723, 0.713, 0.727, 0.712 
spambase, 0.852, 0.822, 0.953, 0.723 
spectfheart, 0.672, 0.463, 0.8, 0.327 
titanic, 0.753, 0.699, 0.705, 0.693 
wdbc, 0.848, 0.807, 0.868, 0.758 
wisconsin, 0.9, 0.854, 0.958, 0.771 
usps, 0.836, 0.688, 0.81, 0.599 
